ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Sul,SC,4209607,Interior,Estadual,Urbana,306.033782,284.615444,Masculino,Branca,Abril,2002,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Não faço trabalhos domésticos,Sim,Continuar estudando e trabalhar
2017,Sul,RS,4314902,Capital,Estadual,Urbana,312.156693,198.252408, , , , , , ,Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PB,2513851,Interior,Municipal,Urbana,314.038131,288.246601,Feminino,Parda,Junho,2003,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Entre 1 e 2 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,307.992296,229.21782,Feminino,Parda,Fevereiro,2003,Não tem,Não completou a 4.ª série/5.º ano do Ensino Fundamental,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2902708,Interior,Municipal,Rural,180.19977,146.721191, ,Branca, , , , , , ,Entre 1 e 2 horas,Não, 
2017,Sudeste,RJ,3305109,Interior,Estadual,Urbana,241.034357,217.680413,Masculino,Branca,Junho,1998 ou antes,"Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Nunca estudou,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Norte,PA,1504208,Interior,Municipal,Urbana,200.791961,203.21615,Masculino,Amarela,Maio,1999,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Nordeste,CE,2305605,Interior,Municipal,Urbana,289.988666,278.564038,Feminino,Amarela,Setembro,2002,Não tem,Nunca estudou,Nunca estudou,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Norte,AM,1302900,Interior,Municipal,Urbana,212.135354,212.711083, ,Branca,Setembro,2001,Não tem,Não sei,Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Sudeste,SP,3549904,Interior,Municipal,Urbana,302.717272,286.195185,Feminino,Branca,Setembro,2002,"Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,SP,3539806,Interior,Municipal,Urbana,249.701755,232.442639,Masculino,Branca,Março,2003,"Sim, quatro ou mais",Completou a Faculdade,Completou a Faculdade,"Mais de 2 horas, até 3 horas",Menos de 1 hora,Não,Ainda não sei
2017,Sudeste,SP,3522208,Interior,Estadual,Urbana,263.724228,174.807309,Masculino,Preta,Novembro,2001,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,286.192128,316.456186,Feminino,Parda,Março,2001,Não tem,"Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio",Entre 1 e 2 horas,"Mais de 2 horas, até 3 horas",Não,Continuar estudando e trabalhar
2017,Norte,AM,1302603,Capital,Estadual,Urbana,334.387085,236.650884,Masculino,Parda,Janeiro,2002,"Sim, dois",Completou a Faculdade,"Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2611606,Capital,Estadual,Urbana,200.68227,204.117749,Masculino,Parda,Maio,2000,"Sim, um",Completou a Faculdade,Completou a Faculdade,Entre 1 e 2 horas,Não faço trabalhos domésticos,Não,Somente trabalhar
2017,Sul,PR,4103222,Interior,Estadual,Urbana,283.5201,256.32409,Masculino,Branca,Outubro,2002,"Sim, dois",Completou a Faculdade,Completou a Faculdade,Mais de 3 horas,Não faço trabalhos domésticos,Não,Somente continuar estudando
2017,Nordeste,CE,2304400,Capital,Municipal,Urbana,239.31605,257.837766, , , , , , ,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Sudeste,SP,3550308,Capital,Municipal,Urbana,217.434289,237.622908,Feminino,Parda,Janeiro,2003,Não tem,Não sei,Não sei,Menos de 1 hora,Menos de 1 hora,Não,Somente continuar estudando
2017,Nordeste,CE,2308104,Interior,Municipal,Urbana,255.715581,257.597261,Masculino,Parda,Julho,2003,Não tem,Nunca estudou,Não completou a 4.ª série/5.º ano do Ensino Fundametal,Entre 1 e 2 horas,Menos de 1 hora,Não,Continuar estudando e trabalhar
